original_group_name,masked_group_name
Kimaeti,GRP_sfuthrg
Sango B,GRP_vlsrmgb
Njetilekho,GRP_pfthntw
Talitiana Self,GRP_vakgchf
Machwele Group,GRP_lbmhtvi
Kiboochi,GRP_tomralk
Tabala C,GRP_vqwazqb
Metameta,GRP_njxuhat
Budii,GRP_sqxxtoq
Sinani,GRP_cnlulxe
Massa,GRP_weufzgg
Nandika,GRP_bafphwa
Kumelo,GRP_jftxbkl
Nima,GRP_xmdwwmm
Pamoja,GRP_bbpevyd
Ese Namwe,GRP_zblrdpg
Jua Kali Women,GRP_msdvcaj
Matisi B,GRP_jsztmhe
Kitabisi,GRP_qxxuurg
Zone Group,GRP_phmtfhv
Basisi Group,GRP_jziptvj
Masielo,GRP_hgwdfjg
Kimum A,GRP_iidztgo
Namisi,GRP_bjjwqyg
Beauty Lady,GRP_htqphuv
Malambisha B,GRP_ykjeieg
Mukasosi Shg,GRP_nmqnaft
Tulukuyi Group,GRP_cksemys
Sisi Kwa Sisi,GRP_motekun
Mukiyuni,GRP_agxbrtq
Focus Youth Group,GRP_qrdqnuv
Mateka,GRP_dbiscvr
Musale,GRP_gfboiim
Malambisha A,GRP_hdqimxi
Siloba,GRP_utfaswl
Syombe,GRP_oikypxt
Baraka,GRP_shhinzr
Khulime,GRP_ixshihi
Myanga B,GRP_tuvjmrt
Napara Group,GRP_xcwztdr
Malinda Group,GRP_gyqagkh
Musakasa,GRP_lqloyey
Wabukhonyi,GRP_klthlkl
Kumelo Women Group,GRP_ytkhngs
Namamuka C,GRP_ctqtane
Musina B,GRP_viahgaa
Furaha,GRP_ynrqaeg
Safari Njema,GRP_fqtpqyj
Emanyakho,GRP_gnenduy
Remwa B,GRP_firxdtd
Ngoli Group,GRP_xjlaosm
Kabula Vocal Group,GRP_rvcdydx
Mikayu,GRP_xxisiwf
Tamba Endie,GRP_evnwxcg
Okoa,GRP_zwarzhf
Mukanda Groups,GRP_xkkqkyd
Mutare,GRP_jtyxqkg
Sikana B,GRP_huypwvz
Khalabana,GRP_lgxubgz
Sulwe,GRP_tpcogqo
Masaka B,GRP_pzwlkzn
Miteso,GRP_pwkmcdb
Simana Shg,GRP_hjwfsoz
Mumeme,GRP_tcwkzmz
Salaams Club,GRP_upfwhhw
Galila Shg,GRP_xxsfpks
Blue Waves,GRP_ldsrfyx
Vumilia Shg,GRP_hrcjvlr
Nabuloli Group,GRP_arnopue
Kende,GRP_sfltxrf
Tumaini A,GRP_dyanguo
Nabuma,GRP_ttjzknq
Kimum B,GRP_kkamknj
Matasi,GRP_zyipmsb
Remwa Shg,GRP_qndcukx
Tumaini C,GRP_aggrocv
Nambale,GRP_qdpyyzz
Sawa,GRP_ygqqcet
Sikimbo,GRP_ktnchty
Masaka C,GRP_psgmacg
Jua Kali,GRP_pwguvtk
Kawa,GRP_bxbbakf
Effort Cbo,GRP_jjfmwgs
Namana C,GRP_omkwhnu
Pamoja Youth,GRP_ypdursq
Milimani A,GRP_fabckfr
Sulwe Group,GRP_lzryvpq
Mlimani B,GRP_nkelnan
Siloba Sulwe,GRP_lxqdjqc
Tuuti Groups,GRP_bcmndwe
Namati,GRP_kvwotij
Tabu Shg,GRP_nwbteem
Sandos,GRP_tmgaipd
Bosio B,GRP_zolqgcs
Ngosia Youth,GRP_wwudtir
Esenamwe,GRP_dqmqobz
Napara Salaam,GRP_aqzidcv
Nasianda,GRP_ildpzuo
Lurare,GRP_qqeebyw
Teleti,GRP_rzkvbuc
Kinatubi Shg,GRP_khtpfle
Mamusa,GRP_mbaykqb
Namana A,GRP_dwmcmya
Netima B,GRP_mubmxta
Impreza,GRP_yvwllax
Bidii,GRP_vmrihwz
Mlimani A,GRP_hfatwxx
Impresa,GRP_zccappa
Bitobo 2,GRP_enxvoga
Napara Shg,GRP_gzmqzle
Munyali Grp,GRP_kqnmmod
Mukanda,GRP_ucfphiq
Nasimbo Group,GRP_arjeapi
Munyali,GRP_mzlieal
Nasomo,GRP_kdffbok
Musikwa C,GRP_voougmn
Buma,GRP_yilosyu
Simama,GRP_qrmoabk
Lwanja,GRP_qgfuqzp
Sulwe Salaam,GRP_ypvzpww
Nangili Youth,GRP_ijgynga
Musaka,GRP_osvloyk
Bitit,GRP_ugrnsld
Napara A,GRP_rslltpy
Kamur,GRP_wxgmqdn
Salams Club,GRP_zajgsel
Kendelesha,GRP_myxqadb
Kalyet Barakeiwet Joywo Group.,GRP_xvnyikc
Kapsegei Joywo Group.,GRP_cmgdsup
Jeptigit Silk Group,GRP_xjpdcka
Morning Star Group B.,GRP_mmweyfp
Chomyet Joywo Group,GRP_lxuepja
Kakoech Joywo Group.,GRP_wtdxdof
Saj4 Joywo Group.,GRP_titqucc
Jemaluk Joywo Group.,GRP_tmdkpnb
Shach4 Joywo Group,GRP_yqvibvy
Jepkiit Group,GRP_slmqrtz
Lumda Gei Silk Group,GRP_fzupwdp
Taito Family Meeting.,GRP_aldchrn
Chemwai Nasep Group.,GRP_ziqcpyn
Kaplamai Joywo Group.,GRP_mwqjqyv
Judea Kebulwet Joywo Group,GRP_gnhksrt
Kaplamai Joywo Group,GRP_wsrsrub
Jesonok Silk Group,GRP_fyjthjv
Kapngetich Farmers Forum,GRP_dosantm
Kapchumba Fielday.,GRP_tbhsmaj
Great Apex Kitawet Group,GRP_ygmaoyi
Maperyat Joywo Group,GRP_laghgfh
Kalyet Merry-Go-Round Group.,GRP_pbdlckq
Baraka Mzazi Joywo Group,GRP_wdrtasl
Boito Silk Group,GRP_lzwqwvn
Lapkei Tai Joywo Group,GRP_tyetanl
Jepkatet Farmers Fielday,GRP_rwlfjtt
Sigot Datola Group,GRP_drebtwy
Ushindi Koipasui Silk Group,GRP_kquhrpe
Tuiyo Cooperative Farmers Group,GRP_vqeooty
Chebaraa Joywo Group,GRP_gomuhfq
Ngarafalls Fielday,GRP_rrwgmwk
Jeptuyet Agricultural Training,GRP_ypvcyyw
Jebarus Nasep Group.,GRP_vipgsqo
Set Kobor Joywo Group.,GRP_zamxaaj
Ogilge Kipkombot Joywo Group.,GRP_vaocixl
Sakas Juhudi Group,GRP_llfzvuz
Koiluget Chepkukwo Welfare Group,GRP_slwfioj
Ripgaa Joywo Group.,GRP_jfiyjdi
Biribiriet Village Elders,GRP_jlqlbrc
Cheptewet Joywo Group.,GRP_gfhzbhs
Chemwai Kapchumo Nasep Group.,GRP_ynjlqrb
Kureshet Silk Group,GRP_axedqjj
Chepteon Group,GRP_cerzitk
Chepteon Silk Group,GRP_bokardz
Kalyet Kamelil Joywo Group,GRP_swnaisq
Testai Juhudi Group,GRP_czaeonp
Advocate For Change Farmers Fielday,GRP_grqvrhg
Jebarus Joywo Group,GRP_zylfpxo
Tilalwo Joywo Group.,GRP_rashfwd
Lelchego Fielday,GRP_xdjnmhn
Tebeswet Silk Group,GRP_sfkplfg
Jemaluk Sinendet Juhudi Group,GRP_snuxbtn
Kipakenge Datola Group,GRP_kllwopm
Kapngetich Agricultural Farmers Meeting,GRP_guwkxgc
Toretgee Joywo Group,GRP_wvtnmnw
Olbutiot Self Help Group,GRP_cojaguf
Kapkakaron Joywo Group,GRP_prjjhze
Taunet Joywo Group,GRP_gyjalnz
Junction Joywo Group.,GRP_fmbjheq
Lelchego Womens Day.,GRP_aibajuc
Jeirot Juhudi Women Group,GRP_gbznzom
Digital Joywo Group,GRP_iveqhqp
Jemuswa Juhudi Group,GRP_fpwylhp
Kilagan Booster Joywo Group.,GRP_dcnovxl
Karlel Silk Group,GRP_zobfnyx
Muruto Silk Group,GRP_jrixsge
Kuryot Joywo Group,GRP_ugktgai
Chepteon Silk.,GRP_ppssmzv
Jeptigit Horis Group.,GRP_ktlyges
Kebulwet Silk Group,GRP_udmiwdj
Venus Boito Juhudi Group.,GRP_lglkxco
Barakeiwet Morning Star Group.,GRP_skmhdva
Sayet Joywo Group,GRP_mzqkzby
Kap Chewawa Nasep Group,GRP_xxngojn
Sach4 Joywo Group,GRP_hdvpxvp
Cheptewet Joywo Group,GRP_orsjkzi
Chebigoi Sda Prayer Group,GRP_eypfyxx
Mogoiwet Nasep Group.,GRP_styvoci
Silk Group,GRP_uujgscg
Lelmokwo Youth Group.A,GRP_fckleoc
Open Arms Group,GRP_gkljyfo
Lelchego Cooperative Youth Forum,GRP_amhiipt
Sigot Fielday,GRP_wfzredp
Kipkaren Farmers Fielday,GRP_uxlqzez
Lelmokwo Lelchego Fielday,GRP_qzskxiu
Lelchego Exhibition Day.,GRP_yahjvyu
Wema Group.,GRP_eljezmi
Tuigoin Silk Group,GRP_qikouru
Marinyim Joywo Group.,GRP_qsgiscg
Saj4 Joywo Group,GRP_kznmbfb
Kapchewawa Nasep Group,GRP_pslnvip
Kabiyet Dairies Fielday Tent2,GRP_lvmaocm
Logoyat B Joywo Group,GRP_dkllcio
Mois Bridge Advocacy Reformers Group.,GRP_kmakrof
Jebarus Morning Star Group.,GRP_noyyttj
Venus Boito Juhudi Group,GRP_vdlwonz
Karlel Silk Group.,GRP_jcjyfrd
Kotap Leketio Joywo Group,GRP_guibvaq
Maperyat Joywo Group.,GRP_wtdlbuf
Chebigoi Group,GRP_tuxhbgn
Junction Joywo Group,GRP_mjeopyc
Jemarot Silk Group,GRP_mcqeame
Tungururwet Joywo Group,GRP_knunkll
Bethel Prayer Group,GRP_yckgrsf
Single And Widows Merrigo Group,GRP_loetxoq
Eden Joywo Group,GRP_somcjzr
Kormaet Agricultural Fielday,GRP_tlcpxvq
Lelchego Farmers Fielday,GRP_xfgfwdh
Saiyet Joywo Group,GRP_ogzyunp
Tach Asis Joywo Group,GRP_gwitsas
Kabiyet Dairies Fielday Tent 3.,GRP_ztlygxg
Lelmokwo Agricultural Farmers Training,GRP_lzkxapu
Kongasis Joywo Group.,GRP_kvyikom
Bayete Megun,GRP_crsemfr
White Star Nasep Group,GRP_bvvlipm
Tach Asis Lelchego Fielday,GRP_vbqcvrl
Kipkongorwa Famers Baraza,GRP_ielxyii
Sk Merrigo Round Group,GRP_jymehzp
Kabiyet Dairies Fielday,GRP_ijhpldt
Nduroto Koshin Women Group.,GRP_kazmien
Blessed Nasep Group.,GRP_tklagyz
Rongit Silk Group,GRP_mbjciui
Kap Koimur Joywo Group,GRP_cigxjlg
Chemwai Nasep Group,GRP_rzdatbz
Kabisaga Agricultural Training.,GRP_kodkzfi
Chepchapai Si Order Group,GRP_icucxci
Kipkongorwa Silk Group.,GRP_gjqntoa
Mogoiwet Dip Baraza.,GRP_boavuaa
Illula Reformers Group,GRP_ujnovjv
Chomyet Merry-Go-Round Group.,GRP_xpqnxlq
Shiners Nasep Group,GRP_gdvngqh
Emgoin Joywo Group.,GRP_ntqpuvo
Kapkatet Jemuswa Juhudi Group.,GRP_cfjybwt
Barakeiwet Fielday,GRP_nrwjyaj
Open Arms Silk Group,GRP_mgzitym
Kapngetuny Gaa Joywo Group,GRP_ziubiwx
Tilalwo Group 2 Joywo Group,GRP_tynnktt
Reformers Group.,GRP_mqmcdax
Genesis Joywo Group,GRP_fbmmgxh
Murkoi Joywo Group,GRP_mkcjiud
Morning Star Group,GRP_beummdd
Kokwet Keregut Nasep Group,GRP_bfgykin
Biribiriet Lelmokwo Agricultural Training,GRP_yfuhcjh
Kalyet Joywo Group,GRP_aiylmvv
Holy Family Teachers Group,GRP_ofeyftj
Kapchorua Lelchego Fielday,GRP_gnotvme
Paluk Merrygo Group,GRP_oyjpvzf
Kamungei Juhudi Group,GRP_chrrpjq
Tuyobei Lemook Apex Group.,GRP_cxgrkob
Lelmokwo Baraza Group.,GRP_zgfsidc
Upendo Group.,GRP_ukstfzv
Simanet Joywo Group,GRP_jygqqqg
Kap Kumur Silk Group.,GRP_siguwnc
Koipasui Silk Group,GRP_zmblxsw
Koipasui Lelchego Fielday,GRP_ojbbaqi
Chamkaa Simatwet Joywo Group,GRP_yfeidhu
Ngecheck Agricultural Training,GRP_cprxeis
Chamkei Kapkobis Joywo Group,GRP_zzjlojk
Baraka Mzazi Joywo Group.,GRP_ngfewce
Konyit Joywo Group,GRP_nzrpjbw
Testai Juhudi Group.,GRP_wusvpse
Kuryot Joywo Group.,GRP_yiwxkal
Exodus Joywo Group,GRP_kqxsxnp
Revelation 1 Joywo Group.,GRP_iwlvazj
Kap Ngetuny East Joywo Group.,GRP_ldoilwr
Kadiri Koipasui Silk Self Help Group,GRP_psdrfni
Open Arms Silk Group.,GRP_pwfqgay
Emgoin Si Order Group.,GRP_ivorszv
Jeirot Juhudi Group,GRP_tmcjzog
Ogilge Chemosit Joywo Group,GRP_fmpjwna
Jepteon Open Arms Group,GRP_aozexrf
Kapngetuny East Joywo Group,GRP_bwragax
Lolmukusi Joywo Group,GRP_czutvnb
Jeptige Juhudi Group,GRP_orrpwyh
Kipngetket Outreach Group.,GRP_avgbynb
Chepwai Nasep Group,GRP_jezjvbk
Eisero Ngeny Silk Group,GRP_aikmhdd
Si Order Group.,GRP_yxoqqrx
Tilalwo Joywo Group,GRP_hseqddj
Lamaiwet Kokwet Joywo Group.,GRP_pefdzhi
Taunet Tuigoin Group,GRP_hbmiwxn
Itigo Agricultural Training,GRP_vdsgvoo
Kisabei Husler Joywo Group.,GRP_azbtvoe
Samutet Heroes Joywo Group.,GRP_qowmkpt
Samutet Heroes Joywo Group,GRP_ckvicde
Joyful Kipkombot Joywo Group,GRP_foxtmiq
Kap Masai Group,GRP_emoaoic
Toret Moi Nasep Group.,GRP_enhzzra
Kabisaga Agricultural Training,GRP_ujrtsxx
Jepkatet Teachers Group,GRP_hkymrvg
Ainamoi Ketwa Juhudi Group,GRP_lcapzch
Kapruce Joywo Group A,GRP_dofigmd
Kiramkel Joywo Group,GRP_jkyvzvp
Taunet Ne Lel Self Help Group.,GRP_vanagia
Cham Asis Juhudi Group,GRP_fjkwtof
Tuyobei Lemook Group.,GRP_sirzkws
Ngeny Barak Joywo Group,GRP_dpsalml
Kosyin Chemuswa Juhudi Group,GRP_fdwvzhq
Kokwet Joywo Group,GRP_dzwjehf
Momoniat Lelchego Fielday,GRP_lifkdty
Widows Merry Go Group,GRP_jbedmpa
Eden Joywo Group.,GRP_zeezxye
Kapkejui Joywo Group,GRP_qvkndof
Lamaiwet A Nasep Group.,GRP_rqvojye
Gedaf Joywo Group.,GRP_arzpxue
Seretyo Joywo Group,GRP_qgzwhyg
Kapruce Joywo Group 1,GRP_hfnbrki
Mercyful Joywo Group,GRP_hngqgnc
Kapchumba Fielday Group2.,GRP_uvwetdu
Tungururwet Joywo Group.,GRP_oavuhhe
Muungano Central Joywo Group,GRP_bpcrlex
Soyet Joywo Group,GRP_oigxtpv
Kipakenge Joywo Group,GRP_eeunciy
Ogilge Joywo Group,GRP_lrypvns
Kolongei Silk Group,GRP_joblbkl
Legacy Nasep Group.,GRP_tcezxqu
Isa Juhudi Group,GRP_qyjhwbe
Kakoech Joywo Group,GRP_ftnsjxo
Emdit Joywo Group,GRP_jkkkgtk
Lamaiwet Joywo Group,GRP_qddflec
Olbutuiot Silk Group,GRP_kjgfxon
Koikaro Silk Group,GRP_nrrnffn
Kingwa Joywo Group,GRP_tkrhgow
Soyet Kipakenge Women Group,GRP_tsnrvpy
Olserkech Scheem Group,GRP_bybukan
Kapkatet Joywo Group,GRP_jsfsjkn
Toretgei,GRP_sgtuinv
Umoja Joywo Group,GRP_cpavglv
Kipkoriony Agricultural Forum,GRP_joiqqys
Koipasui Silk Group.,GRP_vobymtk
Chamasis Women Juhudi Group,GRP_wcftmed
Kapsegei Joywo Group,GRP_ujwnszn
Kosakatat Joywo Group.,GRP_ammzbfg
Jepkiit Open Arms Group,GRP_anbtfmb
Riverside Juhudi Group,GRP_unwhvpg
Mogoiwet Teachers Group,GRP_achbmoo
Ack St.Luke Teachers Group.,GRP_utnrmbl
Kapngetich Agricultural Training,GRP_nvkjizd
Tekat Joywo Group,GRP_siopuwg
Jemaluk Joywo Group,GRP_cghrpkj
Kap Chewawa Nasep Group 2.,GRP_wxmutjj
Biribiriet Village Elders Group,GRP_nhdxirz
Kalyet Barakeiwet Joywo Group A,GRP_inahych
Kosakatat Joywo Group,GRP_yqzbfnn
Chepkoyo Silk Group,GRP_pbbydsf
Jebarus Nasep Group,GRP_evhqpeh
Tebeswet Hygrophin Group.,GRP_bmrvebg
Ack St.Luke Teachers Group,GRP_llwnbid
Lamaiwet G Apex Group.,GRP_werieuy
Toretgei Joywo Group,GRP_pzldkpi
Ainamoi Ketawa Juhudi Group,GRP_jblmhyc
Moso Merry-Go-Round Group.,GRP_cpeawcz
Morning Star Group A.,GRP_aytajdm
Sigot Datola Group.,GRP_nbrzbzp
Jeptigit Horis Group,GRP_lntcong
Faidika Joywo Group,GRP_hmlgsfp
Marinyim Joywo Group,GRP_mjhypfd
Sosiot Joywo Group,GRP_oqooaee
Sigot Teachers Group,GRP_zcgybxo
Kipakenge Joywo Group.,GRP_zkgqlfa
Kimalit Joywo Group,GRP_bknvyyi
Kapsegei Merrigo Group.,GRP_jlbwfac
Berur Apex Group.,GRP_yxlzclz
Kapruce Joywo Group 2,GRP_urblmcn
Eisero Nasep Group.,GRP_funohjo
Koikaro Group,GRP_awcsnmk
Jepteon Group,GRP_choneck
Tuigoin Teachers Group,GRP_mqghnfe
Blessed Widows Nasep Group,GRP_herxpqx
Zion Joywo Group,GRP_iiavgtn
Simatwet Chamkaa Joywo Group,GRP_nmiegqc
Tamboyo Silk Group.,GRP_luwbjjg
Jeptil Merrygo Group,GRP_oopyzwe
Ainapngetik Group,GRP_zmpeduo
Gedaf Joywo Group,GRP_owrmqno
Ack St.Luke Teacher Group,GRP_rykguwu
Supper Eagles Silk Group.,GRP_dtammog
Cheirot Juhudi Group,GRP_ryrhnsn
Upendo Avilah Joywo Group,GRP_ghpzswm
Kayanet Seretyo Joywo Group.,GRP_pfmbwzm
Mumetet Gaa Joywo Group,GRP_ejefmdc
Jebaikaa Group,GRP_qdhvfwk
Saj4 Youth Group.,GRP_svmakgm
Kamangunet Juhudi Group,GRP_rgplvsj
Kalyet Barakeiwet Joywo Group,GRP_sswhgcp
Tebeswet Hygrofin Group,GRP_upavhef
Jerusalem Joywo Group A,GRP_tzllcbj
Koshin Juhudi Group,GRP_aweooxm
Kaplamai Joywo Group B,GRP_xruwxnp
Chomyet Momoniat Joywo Group,GRP_mhaycgz
Mlango Agricultural Training,GRP_somkocv
Chebaibai Open Arms Group,GRP_xyygwdd
Tebeswet Hygrofin Joywo Group,GRP_fposnkd
Jebarus Shiners Nasep Group,GRP_inlzelj
Kap Ngorom Women Group.,GRP_oodfohv
Kapsiria Joywo Group,GRP_ngswhzk
Lapkei Tai Joywo Group.,GRP_fdskigf
Chebigoi Sda Prayer Group.,GRP_akrnyhx
Baraka Mzazi Joywo,GRP_krnvndq
Precious Joywo Group,GRP_muiiftx
Sda Kapkeringon Teachers Group,GRP_gnnnhrb
Kokwet Geregut Nasep A$B.,GRP_aogxlyn
Koshin Simatwet Joywo,GRP_xffbnqk
Jordan Joywo Group,GRP_ddyzrog
Kapchumba Fielday,GRP_piddgql
Kamangunet Juhudi Group.,GRP_lhfgqrn
Lelmokwo High Teachers Group,GRP_dtyzqtd
Logoyat A Joywo Group,GRP_bkakrkn
Kipkombot Joywo Group,GRP_alwstpj
Nduroto Juhudi Group,GRP_dbwemes
Kisabei Joywo Group,GRP_mxsyawv
Widows Merry-Go-Round Group,GRP_xyobaku
Simatwet Baraka Joywo Group,GRP_uezkavc
Kalyet Merry-Go-Round Group,GRP_upkmavg
Kapngetuny Gaa Joywo Group.,GRP_qxkflgd
Brook Of Faith Silk Group,GRP_eufhiyi
Reformers Cheptil Group,GRP_hdngxsy
Tijijenge Joywo Group,GRP_mzoyzgr
Sunrise Joywo Group,GRP_htunypl
Newlands Oleserkech Group.,GRP_ixdqssm
Kuryot B Joywo Group,GRP_qtxihhq
Lelmokwo Teachers Group,GRP_dtekmog
Chamasis Juhudi Group,GRP_qmjkdpr
Jeptil Joywo Group,GRP_tsnfaaj
Mlango Agricultural Training.,GRP_uqrrrdq
"Kosakata Joywo Group,",GRP_joasllb
Escape Joywo Group,GRP_iiptqpg
Ogilge Jemosit Joywo Group,GRP_tfqihpo
Kap Masai Group.,GRP_asdscfu
Genesis Joywo Group.,GRP_smeprwd
Kapelem Tilil Bei Joywo Group.,GRP_myhxszb
Geregut Kokwet Nasep.,GRP_mpbhibu
Tilyet Silk Group.,GRP_nlsemyz
Kuryot B Joywo Group.,GRP_bzqrnpx
Tuigoin Silk Group.,GRP_vsiewvn
Kapruce Joywo Group,GRP_piwtwna
Chomyet Merrigo Group,GRP_lbyxxgt
Matiech Ngeny Joywo Group,GRP_cxovoif
Kuryot Kilagan Joywo Group,GRP_qkaxpzy
Kuryot A Joywo Group.,GRP_tcsqqys
Jerote Joywo Group,GRP_ibppoyz
Jebigoi Sda Prayer Group,GRP_iegtpjx
Lamaiwet Apex Group.,GRP_gbfsfwf
Kapkumur Silk Group.,GRP_pllliic
Kapngetuny Gaaa Joywo Group,GRP_zljoazd
Tamboyo Silk Group,GRP_xphfuhn
Mutwot Kapsile Group,GRP_iltvfzz
Set Kobor Joywo Group,GRP_ezsqqnv
Tumaini Morning Star Group.,GRP_hcsxvit
Kapungut Joywo Group,GRP_ykhydmk
Elcap Joywo Group,GRP_nuozeic
Jordan Joywo Group 2,GRP_zhpkxpu
Chamkaa Joywo Group,GRP_ltqlvsv
Brook Of Faith Group.,GRP_fporkmp
Tilil Bei Joywo Group,GRP_qsimoow
Ogilge Joywo Group.,GRP_urdbjjk
Logoyat B Joywo Group.,GRP_zufebxq
Kokwet Geregut Nasep Group.,GRP_ytnzrzh
Ogilge Kipkombot Joywo Group,GRP_iaoeljc
Jemarot Joywo Group,GRP_kpbpxuy
Kormaet Group.,GRP_aaaqhef
Chepteon Group.,GRP_fiduryr
Emdit Joywo Group.,GRP_dxffgnk
Kipngeru Juhudi Group.,GRP_ggiqjcs
Kapngetuny East Joywo,GRP_nvvynht
Jerusalem Joywo Group.,GRP_ioakcwe
Kolongei Silk Group.,GRP_taewdaw
Biribiriet Village Elders Group.,GRP_nexsfif
Konyit Joywo,GRP_bvfatqh
Chomyet Ainapngetik Joywo Group,GRP_lmqordd
Umoja Nasep Group.,GRP_ejwmloj
Testai Datola Group,GRP_symflnw
Mumetet Joywo Group,GRP_yktgrwr
Namgoyet Joywo Group.,GRP_tmcfbkg
Tuyobei Silk Group..,GRP_paiodpn
Lelmokwo Teacher Group.,GRP_jfudwnk
Jordan Joywo Group.,GRP_msktlpm
Merciful Joywo Group,GRP_ecoosui
Mt. Zion Joywo Group.,GRP_qlxnsew
Lamaiwet Women Group Joywo,GRP_ucdzpdo
Songoliet Jebarus Nasep Group,GRP_ushrfqx
Lapkei Gaa Joywo Group,GRP_xlumipf
Imani Merrigo Group,GRP_aawywhv
Kapruce Joywo Group B,GRP_rhlgauy
Simba Hill Joywo Group,GRP_seyytzm
Logoek Joywo Group,GRP_tsnwgeu
Berur Joywo Group,GRP_mecnkmg
Nduroto Koshin Women Group,GRP_kfybguk
Kureshet Silk Group.2,GRP_xxkyvfa
Rising Star Group,GRP_bmqqoux
Jebarus Morning Star Group,GRP_ysmeujq
Konyit Joywo Group.,GRP_hwglszj
Lamaiyet Joywo Group,GRP_jyplyya
Kap Chewawa Nasep,GRP_nzvtcwt
Baraka G Apex Group.,GRP_ebxsllo
Jebarus Geregut Nasep Group,GRP_jxiscqy
Kap Kumur Datola Group,GRP_muoommx
High Way Joywo Group,GRP_yhijtfu
Chebaibai Chepkiit Self Help Group,GRP_ntvpygp
Somanet Joywo Group,GRP_olxdlrg
Kipkongorwa Teachers Group,GRP_tkalwdj
Boito Silk Group.,GRP_vmqzace
Samutet Joywo Group,GRP_aiutzcy
Tebeswet Lelchego Group,GRP_tmiwbjw
Kipakenge Datola Group.,GRP_dfeigkt
